year_of_exercise,product_name,product_brand,material_id_code,material_description,business_division,site
2026,Immunara,Immunara,MAT-20045,Corrugated Shipping Box,Vaccines,Eastgate Site
2024,Ostreva,Ostreva,MAT-20083,Fermentation Batch Service,Pharmaceuticals,Northfield Site
2025,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Specialty Care,Rivermill Site
2025,Xantivo,Xantivo,MAT-20071,Sodium Benzoate,Pharmaceuticals,Ashford Site
2024,Advelra,Advelra,MAT-20088,Inbound Air Freight - Temperature Controlled,Specialty Care,Ashford Site
2026,Xantivo,Xantivo,MAT-20000,Paracetamol API,Pharmaceuticals,Eastgate Site
2024,Zolvarin,Zolvarin,MAT-20076,Prefilled Syringe 1ml,Consumer Healthcare,Solaris Park Site
2025,Norvelin,Norvelin,MAT-20008,Glass Vial 2ml,Vaccines,Rivermill Site
2025,Torvexa,Torvexa,MAT-20106,Water for Injection,Specialty Care,Bridgeholm Site
2024,Torvexa,Torvexa,MAT-20015,Corrugated Shipping Case,Consumer Healthcare,Ashford Site
2026,Quilava,Quilava,MAT-20113,Pressure-sensitive Label,Pharmaceuticals,Northfield Site
2025,Dermafyx,Dermafyx,MAT-20085,Aseptic Fill & Finish Service,Vaccines,Fenwick Site
2024,Torvexa,Torvexa,MAT-20015,Corrugated Shipping Case,Specialty Care,Solaris Park Site
2025,Ulvatrix,Ulvatrix,MAT-20088,Inbound Air Freight - Temperature Controlled,Vaccines,Northfield Site
2025,Vezanta,Vezanta,MAT-20033,Paracetamol API,Vaccines,Rivermill Site
2024,Dermafyx,Dermafyx,MAT-20039,Ethanol (Pharma Grade),Pharmaceuticals,Bridgeholm Site
2024,Quilava,Quilava,MAT-20099,Ibuprofen API,Specialty Care,Eastgate Site
2024,Florivex,Florivex,MAT-20054,Inbound Road Freight - Pallet,Consumer Healthcare,Fenwick Site
2025,Xantivo,Xantivo,MAT-20008,Glass Vial 2ml,Pharmaceuticals,Ashford Site
2026,Dermafyx,Dermafyx,MAT-20085,Aseptic Fill & Finish Service,Pharmaceuticals,Ashford Site
2025,Advelra,Advelra,MAT-20105,Isopropyl Alcohol,Consumer Healthcare,Solaris Park Site
2024,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Vaccines,Meadowbrook Site
2024,Kaldrin,Kaldrin,MAT-20097,Comparator Drug Batch,Consumer Healthcare,Eastgate Site
2026,Calmera,Calmera,MAT-20137,Methylparaben,Pharmaceuticals,Eastgate Site
2024,Lumivax,Lumivax,MAT-20085,Aseptic Fill & Finish Service,Consumer Healthcare,Rivermill Site
2026,Estrivon,Estrivon,MAT-20119,Contract Packaging Service,Pharmaceuticals,Kingsley Site
2025,Immunara,Immunara,MAT-20045,Corrugated Shipping Box,Specialty Care,Ashford Site
2025,Florivex,Florivex,MAT-20134,Synthetic Peptide Concentrate,Pharmaceuticals,Solaris Park Site
2024,Wintrelis,Wintrelis,MAT-20077,HDPE Bottle 100ml,Consumer Healthcare,Fenwick Site
2024,Dermafyx,Dermafyx,MAT-20085,Aseptic Fill & Finish Service,Specialty Care,Clearwater Site
2026,Calmera,Calmera,MAT-20021,Inbound Road Freight - Pallet,Consumer Healthcare,Bridgeholm Site
2026,Advelra,Advelra,MAT-20133,Monoclonal Antibody Bulk,Consumer Healthcare,Fenwick Site
2025,Xantivo,Xantivo,MAT-20109,Prefilled Syringe 2.25ml,Consumer Healthcare,Rivermill Site
2024,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Pharmaceuticals,Rivermill Site
2026,Torvexa,Torvexa,MAT-20002,Synthetic Peptide Concentrate,Consumer Healthcare,Bridgeholm Site
2024,Torvexa,Torvexa,MAT-20040,Water for Injection,Specialty Care,Bridgeholm Site
2026,Norvelin,Norvelin,MAT-20144,Folding Carton,Specialty Care,Meadowbrook Site
2026,Quilava,Quilava,MAT-20099,Ibuprofen API,Specialty Care,Eastgate Site
2025,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Pharmaceuticals,Northfield Site
2026,Renovex,Renovex,MAT-20094,HPLC Consumable Kit,Consumer Healthcare,Ashford Site
2024,Immunara,Immunara,MAT-20077,HDPE Bottle 100ml,Vaccines,Ashford Site
2026,Wintrelis,Wintrelis,MAT-20012,Folding Carton,Pharmaceuticals,Kingsley Site
2025,Brenzolix,Brenzolix,MAT-20120,Inbound Road Freight - Pallet,Vaccines,Rivermill Site
2025,Ostreva,Ostreva,MAT-20083,Fermentation Batch Service,Pharmaceuticals,Clearwater Site
2026,Torvexa,Torvexa,MAT-20086,Contract Packaging Service,Vaccines,Clearwater Site
2026,Ulvatrix,Ulvatrix,MAT-20066,Ibuprofen API,Vaccines,Fenwick Site
2025,Hemazol,Hemazol,MAT-20049,Stretch Pallet Wrap,Specialty Care,Meadowbrook Site
2024,Pulmatrix,Pulmatrix,MAT-20004,Enteric Coating Blend,Vaccines,Rivermill Site
2026,Hemazol,Hemazol,MAT-20056,Inbound Ocean Freight - Container,Consumer Healthcare,Meadowbrook Site
2024,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Pharmaceuticals,Eastgate Site
2024,Calmera,Calmera,MAT-20121,Inbound Air Freight - Temperature Controlled,Specialty Care,Eastgate Site
2025,Advelra,Advelra,MAT-20142,Prefilled Syringe 1ml,Pharmaceuticals,Solaris Park Site
2024,Zolvarin,Zolvarin,MAT-20076,Prefilled Syringe 1ml,Pharmaceuticals,Northfield Site
2026,Advelra,Advelra,MAT-20088,Inbound Air Freight - Temperature Controlled,Specialty Care,Solaris Park Site
2026,Kaldrin,Kaldrin,MAT-20138,Isopropyl Alcohol,Specialty Care,Ashford Site
2026,Hemazol,Hemazol,MAT-20009,Alu-Alu Blister Pack,Pharmaceuticals,Northfield Site
2026,Renovex,Renovex,MAT-20043,Prefilled Syringe 2.25ml,Pharmaceuticals,Meadowbrook Site
2025,Dermafyx,Dermafyx,MAT-20066,Ibuprofen API,Pharmaceuticals,Kingsley Site
2025,Calmera,Calmera,MAT-20018,Custom Synthesis Batch,Vaccines,Solaris Park Site
2026,Estrivon,Estrivon,MAT-20046,Patient Information Leaflet,Vaccines,Ashford Site
2026,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Pharmaceuticals,Clearwater Site
2026,Advelra,Advelra,MAT-20142,Prefilled Syringe 1ml,Consumer Healthcare,Bridgeholm Site
2026,Calmera,Calmera,MAT-20137,Methylparaben,Specialty Care,Meadowbrook Site
2024,Norvelin,Norvelin,MAT-20040,Water for Injection,Pharmaceuticals,Northfield Site
2026,Ulvatrix,Ulvatrix,MAT-20126,Filling Line Spare Parts,Consumer Healthcare,Solaris Park Site
2025,Hemazol,Hemazol,MAT-20009,Alu-Alu Blister Pack,Pharmaceuticals,Solaris Park Site
2024,Pulmatrix,Pulmatrix,MAT-20059,Stainless Steel Reactor Component,Pharmaceuticals,Fenwick Site
2026,Calmera,Calmera,MAT-20018,Custom Synthesis Batch,Consumer Healthcare,Meadowbrook Site
2026,Lumivax,Lumivax,MAT-20085,Aseptic Fill & Finish Service,Consumer Healthcare,Eastgate Site
2024,Advelra,Advelra,MAT-20105,Isopropyl Alcohol,Pharmaceuticals,Rivermill Site
2024,Mendovia,Mendovia,MAT-20114,Reusable Shipping Tote,Vaccines,Meadowbrook Site
2025,Ostreva,Ostreva,MAT-20083,Fermentation Batch Service,Specialty Care,Fenwick Site
2026,Norvelin,Norvelin,MAT-20002,Synthetic Peptide Concentrate,Consumer Healthcare,Meadowbrook Site
2026,Torvexa,Torvexa,MAT-20012,Folding Carton,Specialty Care,Clearwater Site
2024,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Pharmaceuticals,Northfield Site
2024,Sentrivax,Sentrivax,MAT-20046,Patient Information Leaflet,Pharmaceuticals,Eastgate Site
2026,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Vaccines,Eastgate Site
2024,Vezanta,Vezanta,MAT-20007,Water for Injection,Specialty Care,Kingsley Site
2025,Zolvarin,Zolvarin,MAT-20076,Prefilled Syringe 1ml,Vaccines,Clearwater Site
2024,Estrivon,Estrivon,MAT-20017,Fermentation Batch Service,Consumer Healthcare,Bridgeholm Site
2025,Calmera,Calmera,MAT-20051,Custom Synthesis Batch,Consumer Healthcare,Eastgate Site
2024,Pulmatrix,Pulmatrix,MAT-20129,Pipette Tips (case),Vaccines,Clearwater Site
2024,Kaldrin,Kaldrin,MAT-20097,Comparator Drug Batch,Consumer Healthcare,Ashford Site
2024,Advelra,Advelra,MAT-20105,Isopropyl Alcohol,Pharmaceuticals,Eastgate Site
2024,Ulvatrix,Ulvatrix,MAT-20126,Filling Line Spare Parts,Vaccines,Bridgeholm Site
2025,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Pharmaceuticals,Clearwater Site
2026,Calmera,Calmera,MAT-20036,Microcrystalline Cellulose,Consumer Healthcare,Fenwick Site
2024,Torvexa,Torvexa,MAT-20012,Folding Carton,Specialty Care,Rivermill Site
2024,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Vaccines,Solaris Park Site
2025,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Specialty Care,Northfield Site
2024,Brenzolix,Brenzolix,MAT-20071,Sodium Benzoate,Vaccines,Bridgeholm Site
2025,Estrivon,Estrivon,MAT-20143,HDPE Bottle 250ml,Pharmaceuticals,Rivermill Site
2026,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Vaccines,Eastgate Site
2026,Torvexa,Torvexa,MAT-20081,Corrugated Shipping Case,Pharmaceuticals,Fenwick Site
2024,Calmera,Calmera,MAT-20022,Inbound Air Freight - Temperature Controlled,Consumer Healthcare,Bridgeholm Site
2025,Xantivo,Xantivo,MAT-20148,Stretch Pallet Wrap,Specialty Care,Clearwater Site
2025,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Consumer Healthcare,Meadowbrook Site
2026,Norvelin,Norvelin,MAT-20040,Water for Injection,Consumer Healthcare,Eastgate Site
2025,Estrivon,Estrivon,MAT-20046,Patient Information Leaflet,Vaccines,Meadowbrook Site
2024,Norvelin,Norvelin,MAT-20040,Water for Injection,Pharmaceuticals,Fenwick Site
2024,Hemazol,Hemazol,MAT-20140,Freeze-dried Vaccine Vial,Specialty Care,Solaris Park Site
2025,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Vaccines,Meadowbrook Site
2025,Hemazol,Hemazol,MAT-20056,Inbound Ocean Freight - Container,Pharmaceuticals,Ashford Site
2026,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Vaccines,Fenwick Site
2024,Zolvarin,Zolvarin,MAT-20056,Inbound Ocean Freight - Container,Specialty Care,Eastgate Site
2025,Norvelin,Norvelin,MAT-20040,Water for Injection,Specialty Care,Clearwater Site
2025,Xantivo,Xantivo,MAT-20032,Clinical Trial Kit,Specialty Care,Eastgate Site
2025,Estrivon,Estrivon,MAT-20143,HDPE Bottle 250ml,Specialty Care,Clearwater Site
2025,Sentrivax,Sentrivax,MAT-20091,Cold Storage - Warehouse Pallet Slot,Consumer Healthcare,Kingsley Site
2025,Kaldrin,Kaldrin,MAT-20103,Enteric Coating Blend,Pharmaceuticals,Eastgate Site
2024,Torvexa,Torvexa,MAT-20106,Water for Injection,Consumer Healthcare,Northfield Site
2025,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Consumer Healthcare,Bridgeholm Site
2025,Torvexa,Torvexa,MAT-20012,Folding Carton,Vaccines,Eastgate Site
2025,Hemazol,Hemazol,MAT-20049,Stretch Pallet Wrap,Vaccines,Meadowbrook Site
2025,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Specialty Care,Bridgeholm Site
2024,Estrivon,Estrivon,MAT-20103,Enteric Coating Blend,Pharmaceuticals,Fenwick Site
2025,Vezanta,Vezanta,MAT-20140,Freeze-dried Vaccine Vial,Consumer Healthcare,Eastgate Site
2025,Mendovia,Mendovia,MAT-20093,Filling Line Spare Parts,Vaccines,Northfield Site
2026,Norvelin,Norvelin,MAT-20008,Glass Vial 2ml,Consumer Healthcare,Meadowbrook Site
2024,Vezanta,Vezanta,MAT-20048,Reusable Shipping Tote,Pharmaceuticals,Kingsley Site
2024,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Pharmaceuticals,Bridgeholm Site
2025,Estrivon,Estrivon,MAT-20103,Enteric Coating Blend,Pharmaceuticals,Clearwater Site
2025,Hemazol,Hemazol,MAT-20114,Reusable Shipping Tote,Consumer Healthcare,Kingsley Site
2026,Kaldrin,Kaldrin,MAT-20035,Synthetic Peptide Concentrate,Vaccines,Rivermill Site
2026,Renovex,Renovex,MAT-20094,HPLC Consumable Kit,Specialty Care,Bridgeholm Site
2025,Advelra,Advelra,MAT-20146,Pressure-sensitive Label,Consumer Healthcare,Northfield Site
2024,Mendovia,Mendovia,MAT-20070,Film Coating Powder,Pharmaceuticals,Eastgate Site
2024,Calmera,Calmera,MAT-20079,Patient Information Leaflet,Consumer Healthcare,Solaris Park Site
2026,Wintrelis,Wintrelis,MAT-20073,Water for Injection,Pharmaceuticals,Eastgate Site
2024,Hemazol,Hemazol,MAT-20009,Alu-Alu Blister Pack,Specialty Care,Northfield Site
2026,Kaldrin,Kaldrin,MAT-20138,Isopropyl Alcohol,Specialty Care,Northfield Site
2025,Hemazol,Hemazol,MAT-20109,Prefilled Syringe 2.25ml,Pharmaceuticals,Bridgeholm Site
2024,Norvelin,Norvelin,MAT-20040,Water for Injection,Vaccines,Eastgate Site
2026,Brenzolix,Brenzolix,MAT-20071,Sodium Benzoate,Pharmaceuticals,Kingsley Site
2026,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Pharmaceuticals,Rivermill Site
2024,Immunara,Immunara,MAT-20138,Isopropyl Alcohol,Vaccines,Meadowbrook Site
2024,Quilava,Quilava,MAT-20075,PVC Blister Pack,Pharmaceuticals,Ashford Site
2024,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Specialty Care,Northfield Site
2026,Zolvarin,Zolvarin,MAT-20024,Cold Chain Transport - 2-8C,Specialty Care,Eastgate Site
2025,Zolvarin,Zolvarin,MAT-20076,Prefilled Syringe 1ml,Consumer Healthcare,Rivermill Site
2026,Torvexa,Torvexa,MAT-20012,Folding Carton,Specialty Care,Bridgeholm Site
2025,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Pharmaceuticals,Rivermill Site
2025,Glucovex,Glucovex,MAT-20135,Microcrystalline Cellulose,Vaccines,Fenwick Site
2024,Renovex,Renovex,MAT-20043,Prefilled Syringe 2.25ml,Pharmaceuticals,Ashford Site
2026,Florivex,Florivex,MAT-20134,Synthetic Peptide Concentrate,Specialty Care,Bridgeholm Site
2024,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Vaccines,Ashford Site
2024,Ulvatrix,Ulvatrix,MAT-20112,Patient Information Leaflet,Specialty Care,Rivermill Site
2024,Ostreva,Ostreva,MAT-20126,Filling Line Spare Parts,Pharmaceuticals,Bridgeholm Site
2026,Xantivo,Xantivo,MAT-20030,Single-use Bioreactor Bag,Specialty Care,Eastgate Site
2024,Estrivon,Estrivon,MAT-20119,Contract Packaging Service,Specialty Care,Meadowbrook Site
2025,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Vaccines,Ashford Site
2024,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Specialty Care,Clearwater Site
2024,Sentrivax,Sentrivax,MAT-20045,Corrugated Shipping Box,Vaccines,Meadowbrook Site
2024,Sentrivax,Sentrivax,MAT-20091,Cold Storage - Warehouse Pallet Slot,Consumer Healthcare,Fenwick Site
2026,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Pharmaceuticals,Eastgate Site
2025,Vezanta,Vezanta,MAT-20140,Freeze-dried Vaccine Vial,Vaccines,Eastgate Site
2025,Glucovex,Glucovex,MAT-20107,Freeze-dried Vaccine Vial,Vaccines,Rivermill Site
2026,Norvelin,Norvelin,MAT-20040,Water for Injection,Specialty Care,Kingsley Site
2025,Wintrelis,Wintrelis,MAT-20052,Aseptic Fill & Finish Service,Consumer Healthcare,Ashford Site
2025,Immunara,Immunara,MAT-20045,Corrugated Shipping Box,Specialty Care,Northfield Site
2025,Norvelin,Norvelin,MAT-20008,Glass Vial 2ml,Consumer Healthcare,Rivermill Site
2026,Ostreva,Ostreva,MAT-20007,Water for Injection,Pharmaceuticals,Solaris Park Site
2025,Torvexa,Torvexa,MAT-20040,Water for Injection,Pharmaceuticals,Fenwick Site
2026,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Specialty Care,Meadowbrook Site
2025,Estrivon,Estrivon,MAT-20143,HDPE Bottle 250ml,Pharmaceuticals,Ashford Site
2024,Advelra,Advelra,MAT-20119,Contract Packaging Service,Consumer Healthcare,Northfield Site
2026,Vezanta,Vezanta,MAT-20140,Freeze-dried Vaccine Vial,Vaccines,Meadowbrook Site
2026,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Pharmaceuticals,Kingsley Site
2024,Sentrivax,Sentrivax,MAT-20021,Inbound Road Freight - Pallet,Consumer Healthcare,Bridgeholm Site
2026,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Vaccines,Northfield Site
2025,Advelra,Advelra,MAT-20145,Patient Information Leaflet,Specialty Care,Kingsley Site
2024,Calmera,Calmera,MAT-20079,Patient Information Leaflet,Vaccines,Northfield Site
2024,Estrivon,Estrivon,MAT-20056,Inbound Ocean Freight - Container,Pharmaceuticals,Clearwater Site
2026,Quilava,Quilava,MAT-20113,Pressure-sensitive Label,Specialty Care,Meadowbrook Site
2026,Norvelin,Norvelin,MAT-20138,Isopropyl Alcohol,Vaccines,Solaris Park Site
2026,Wintrelis,Wintrelis,MAT-20055,Inbound Air Freight - Temperature Controlled,Vaccines,Meadowbrook Site
2024,Sentrivax,Sentrivax,MAT-20000,Paracetamol API,Pharmaceuticals,Fenwick Site
2024,Advelra,Advelra,MAT-20105,Isopropyl Alcohol,Specialty Care,Clearwater Site
2024,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Specialty Care,Rivermill Site
2025,Lumivax,Lumivax,MAT-20085,Aseptic Fill & Finish Service,Consumer Healthcare,Fenwick Site
2024,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Pharmaceuticals,Ashford Site
2025,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Vaccines,Solaris Park Site
2025,Torvexa,Torvexa,MAT-20054,Inbound Road Freight - Pallet,Specialty Care,Bridgeholm Site
2025,Dermafyx,Dermafyx,MAT-20011,HDPE Bottle 100ml,Consumer Healthcare,Eastgate Site
2026,Norvelin,Norvelin,MAT-20040,Water for Injection,Specialty Care,Eastgate Site
2026,Hemazol,Hemazol,MAT-20056,Inbound Ocean Freight - Container,Pharmaceuticals,Eastgate Site
2025,Kaldrin,Kaldrin,MAT-20103,Enteric Coating Blend,Consumer Healthcare,Meadowbrook Site
2025,Ostreva,Ostreva,MAT-20126,Filling Line Spare Parts,Vaccines,Northfield Site
2024,Mendovia,Mendovia,MAT-20090,Cold Chain Transport - 2-8C,Pharmaceuticals,Northfield Site
2024,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Specialty Care,Rivermill Site
2025,Mendovia,Mendovia,MAT-20092,Stainless Steel Reactor Component,Specialty Care,Bridgeholm Site
2024,Vezanta,Vezanta,MAT-20093,Filling Line Spare Parts,Pharmaceuticals,Solaris Park Site
2025,Dermafyx,Dermafyx,MAT-20011,HDPE Bottle 100ml,Consumer Healthcare,Solaris Park Site
2024,Renovex,Renovex,MAT-20006,Ethanol (Pharma Grade),Specialty Care,Meadowbrook Site
2025,Calmera,Calmera,MAT-20054,Inbound Road Freight - Pallet,Consumer Healthcare,Ashford Site
2024,Wintrelis,Wintrelis,MAT-20077,HDPE Bottle 100ml,Pharmaceuticals,Eastgate Site
2024,Torvexa,Torvexa,MAT-20020,Contract Packaging Service,Consumer Healthcare,Clearwater Site
2026,Wintrelis,Wintrelis,MAT-20077,HDPE Bottle 100ml,Vaccines,Ashford Site
2026,Florivex,Florivex,MAT-20134,Synthetic Peptide Concentrate,Consumer Healthcare,Northfield Site
2025,Pulmatrix,Pulmatrix,MAT-20099,Ibuprofen API,Consumer Healthcare,Eastgate Site
2025,Advelra,Advelra,MAT-20146,Pressure-sensitive Label,Vaccines,Eastgate Site
2024,Quilava,Quilava,MAT-20075,PVC Blister Pack,Consumer Healthcare,Solaris Park Site
2026,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Specialty Care,Clearwater Site
2024,Xantivo,Xantivo,MAT-20032,Clinical Trial Kit,Vaccines,Solaris Park Site
2025,Renovex,Renovex,MAT-20021,Inbound Road Freight - Pallet,Specialty Care,Kingsley Site
2025,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Consumer Healthcare,Bridgeholm Site
2025,Renovex,Renovex,MAT-20103,Enteric Coating Blend,Vaccines,Northfield Site
2025,Xantivo,Xantivo,MAT-20032,Clinical Trial Kit,Vaccines,Meadowbrook Site
2025,Advelra,Advelra,MAT-20036,Microcrystalline Cellulose,Vaccines,Ashford Site
2026,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Pharmaceuticals,Fenwick Site
2025,Ulvatrix,Ulvatrix,MAT-20072,Ethanol (Pharma Grade),Consumer Healthcare,Northfield Site
2024,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Specialty Care,Ashford Site
2026,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Specialty Care,Ashford Site
2025,Xantivo,Xantivo,MAT-20032,Clinical Trial Kit,Consumer Healthcare,Eastgate Site
2024,Ostreva,Ostreva,MAT-20079,Patient Information Leaflet,Pharmaceuticals,Solaris Park Site
2025,Renovex,Renovex,MAT-20006,Ethanol (Pharma Grade),Vaccines,Ashford Site
2025,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Vaccines,Ashford Site
2024,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Pharmaceuticals,Eastgate Site
2026,Florivex,Florivex,MAT-20092,Stainless Steel Reactor Component,Specialty Care,Rivermill Site
2024,Dermafyx,Dermafyx,MAT-20039,Ethanol (Pharma Grade),Consumer Healthcare,Ashford Site
2026,Ostreva,Ostreva,MAT-20083,Fermentation Batch Service,Specialty Care,Rivermill Site
2024,Ostreva,Ostreva,MAT-20083,Fermentation Batch Service,Consumer Healthcare,Eastgate Site
2026,Ulvatrix,Ulvatrix,MAT-20008,Glass Vial 2ml,Pharmaceuticals,Meadowbrook Site
2026,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Vaccines,Northfield Site
2024,Mendovia,Mendovia,MAT-20070,Film Coating Powder,Specialty Care,Kingsley Site
2024,Advelra,Advelra,MAT-20133,Monoclonal Antibody Bulk,Vaccines,Northfield Site
2026,Florivex,Florivex,MAT-20065,Clinical Trial Kit,Pharmaceuticals,Rivermill Site
2024,Immunara,Immunara,MAT-20045,Corrugated Shipping Box,Specialty Care,Meadowbrook Site
2024,Quilava,Quilava,MAT-20084,Custom Synthesis Batch,Specialty Care,Bridgeholm Site
2024,Advelra,Advelra,MAT-20054,Inbound Road Freight - Pallet,Specialty Care,Northfield Site
2024,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Vaccines,Ashford Site
2024,Zolvarin,Zolvarin,MAT-20139,Water for Injection,Pharmaceuticals,Northfield Site
2026,Kaldrin,Kaldrin,MAT-20097,Comparator Drug Batch,Vaccines,Eastgate Site
2025,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Consumer Healthcare,Meadowbrook Site
2026,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Pharmaceuticals,Ashford Site
2026,Florivex,Florivex,MAT-20112,Patient Information Leaflet,Specialty Care,Clearwater Site
2026,Hemazol,Hemazol,MAT-20111,Corrugated Shipping Box,Vaccines,Kingsley Site
2026,Brenzolix,Brenzolix,MAT-20029,Lab Reagent Kit,Consumer Healthcare,Meadowbrook Site
2024,Brenzolix,Brenzolix,MAT-20120,Inbound Road Freight - Pallet,Consumer Healthcare,Rivermill Site
2026,Xantivo,Xantivo,MAT-20071,Sodium Benzoate,Vaccines,Eastgate Site
2026,Pulmatrix,Pulmatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Specialty Care,Eastgate Site
2024,Sentrivax,Sentrivax,MAT-20021,Inbound Road Freight - Pallet,Pharmaceuticals,Clearwater Site
2025,Hemazol,Hemazol,MAT-20111,Corrugated Shipping Box,Consumer Healthcare,Kingsley Site
2024,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Specialty Care,Clearwater Site
2025,Pulmatrix,Pulmatrix,MAT-20129,Pipette Tips (case),Vaccines,Ashford Site
2026,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Consumer Healthcare,Fenwick Site
2026,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Consumer Healthcare,Kingsley Site
2026,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Pharmaceuticals,Ashford Site
2024,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Consumer Healthcare,Northfield Site
2026,Ostreva,Ostreva,MAT-20126,Filling Line Spare Parts,Consumer Healthcare,Clearwater Site
2024,Advelra,Advelra,MAT-20036,Microcrystalline Cellulose,Pharmaceuticals,Rivermill Site
2024,Torvexa,Torvexa,MAT-20054,Inbound Road Freight - Pallet,Pharmaceuticals,Eastgate Site
2024,Florivex,Florivex,MAT-20112,Patient Information Leaflet,Consumer Healthcare,Solaris Park Site
2024,Ulvatrix,Ulvatrix,MAT-20086,Contract Packaging Service,Consumer Healthcare,Bridgeholm Site
2024,Torvexa,Torvexa,MAT-20054,Inbound Road Freight - Pallet,Vaccines,Eastgate Site
2025,Florivex,Florivex,MAT-20092,Stainless Steel Reactor Component,Vaccines,Solaris Park Site
2024,Florivex,Florivex,MAT-20092,Stainless Steel Reactor Component,Vaccines,Fenwick Site
2024,Calmera,Calmera,MAT-20036,Microcrystalline Cellulose,Consumer Healthcare,Fenwick Site
2024,Mendovia,Mendovia,MAT-20070,Film Coating Powder,Vaccines,Fenwick Site
2025,Kaldrin,Kaldrin,MAT-20138,Isopropyl Alcohol,Pharmaceuticals,Solaris Park Site
2026,Norvelin,Norvelin,MAT-20002,Synthetic Peptide Concentrate,Consumer Healthcare,Solaris Park Site
2024,Ulvatrix,Ulvatrix,MAT-20112,Patient Information Leaflet,Vaccines,Eastgate Site
2024,Kaldrin,Kaldrin,MAT-20103,Enteric Coating Blend,Vaccines,Kingsley Site
2024,Ostreva,Ostreva,MAT-20083,Fermentation Batch Service,Pharmaceuticals,Fenwick Site
2026,Torvexa,Torvexa,MAT-20086,Contract Packaging Service,Vaccines,Rivermill Site
2025,Estrivon,Estrivon,MAT-20056,Inbound Ocean Freight - Container,Pharmaceuticals,Eastgate Site
2024,Torvexa,Torvexa,MAT-20028,HPLC Consumable Kit,Consumer Healthcare,Kingsley Site
2025,Norvelin,Norvelin,MAT-20138,Isopropyl Alcohol,Vaccines,Northfield Site
2024,Dermafyx,Dermafyx,MAT-20085,Aseptic Fill & Finish Service,Specialty Care,Clearwater Site
2024,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Specialty Care,Meadowbrook Site
2025,Torvexa,Torvexa,MAT-20012,Folding Carton,Vaccines,Rivermill Site
2025,Advelra,Advelra,MAT-20133,Monoclonal Antibody Bulk,Consumer Healthcare,Rivermill Site
2024,Torvexa,Torvexa,MAT-20028,HPLC Consumable Kit,Consumer Healthcare,Kingsley Site
