ghg_scope3_category,enriched_l1l2l3_classification,category_level_1_enriched,category_level_2_enriched,category_level_3_enriched,year
Category 5 - Waste Generated in Operations,Raw Materials - Spend-Based (EEIO),Raw Materials,Excipients,Binders & Fillers,2025
Category 5 - Waste Generated in Operations,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Tertiary Packaging,Shipping Cases,2026
Category 1 - Purchased Goods and Services,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Blister Packs,2025
Category 5 - Waste Generated in Operations,Raw Materials - Spend-Based (EEIO),Raw Materials,Active Pharmaceutical Ingredients,Small Molecule API,2026
Category 1 - Purchased Goods and Services,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Blister Packs,2026
Category 2 - Capital Goods,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Prefilled Syringes,2024
Category 4 - Upstream Transportation and Distribution,Logistics - Spend-Based (EEIO),Logistics,Inbound Freight,Air Freight,2026
Category 1 - Purchased Goods and Services,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Prefilled Syringes,2025
Category 1 - Purchased Goods and Services,Logistics - Spend-Based (EEIO),Logistics,Inbound Freight,Ocean Freight,2025
Category 1 - Purchased Goods and Services,Capital Equipment - Spend-Based (EEIO),Capital Equipment,Lab Equipment,Analytical Instruments,2026
Category 5 - Waste Generated in Operations,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Tertiary Packaging,Pallet Wrap,2026
Category 1 - Purchased Goods and Services,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Blister Packs,2026
Category 1 - Purchased Goods and Services,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Bottles,2026
Category 4 - Upstream Transportation and Distribution,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Glass Vials,2026
Category 5 - Waste Generated in Operations,Logistics - Spend-Based (EEIO),Logistics,Cold Chain,Cold Storage,2026
Category 12 - End of Life Treatment of Sold Products,Raw Materials - Spend-Based (EEIO),Raw Materials,Active Pharmaceutical Ingredients,Peptide API,2026
Category 2 - Capital Goods,Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing,Drug Substance CMO,Fermentation Services,2025
Category 12 - End of Life Treatment of Sold Products,Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing,Drug Substance CMO,Synthesis Services,2024
Category 2 - Capital Goods,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Prefilled Syringes,2024
Category 1 - Purchased Goods and Services,Logistics - Spend-Based (EEIO),Logistics,Inbound Freight,Road Freight,2026
Category 12 - End of Life Treatment of Sold Products,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Secondary Packaging,Labels,2025
Category 12 - End of Life Treatment of Sold Products,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Tertiary Packaging,Pallet Wrap,2025
Category 4 - Upstream Transportation and Distribution,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Glass Vials,2026
Category 12 - End of Life Treatment of Sold Products,Logistics - Spend-Based (EEIO),Logistics,Inbound Freight,Road Freight,2026
Category 1 - Purchased Goods and Services,Raw Materials - Spend-Based (EEIO),Raw Materials,Excipients,Coatings,2025
Category 5 - Waste Generated in Operations,Logistics - Spend-Based (EEIO),Logistics,Inbound Freight,Air Freight,2026
Category 5 - Waste Generated in Operations,Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies,Clinical Trial Materials,Trial Kits,2024
Category 1 - Purchased Goods and Services,Capital Equipment - Spend-Based (EEIO),Capital Equipment,Lab Equipment,Analytical Instruments,2025
Category 2 - Capital Goods,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Bottles,2026
Category 5 - Waste Generated in Operations,Logistics - Spend-Based (EEIO),Logistics,Cold Chain,Cold Storage,2025
Category 2 - Capital Goods,Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies,Lab Consumables,Single-use Plasticware,2026
Category 1 - Purchased Goods and Services,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Bottles,2026
Category 4 - Upstream Transportation and Distribution,Capital Equipment - Spend-Based (EEIO),Capital Equipment,Lab Equipment,Analytical Instruments,2025
Category 12 - End of Life Treatment of Sold Products,Raw Materials - Spend-Based (EEIO),Raw Materials,Excipients,Coatings,2024
Category 5 - Waste Generated in Operations,Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies,Lab Consumables,Reagents,2026
Category 5 - Waste Generated in Operations,Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies,Clinical Trial Materials,Comparator Drugs,2026
Category 12 - End of Life Treatment of Sold Products,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Blister Packs,2026
Category 12 - End of Life Treatment of Sold Products,Capital Equipment - Spend-Based (EEIO),Capital Equipment,Process Equipment,Filling Lines,2025
Category 2 - Capital Goods,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Blister Packs,2025
Category 5 - Waste Generated in Operations,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Secondary Packaging,Cartons,2026
Category 12 - End of Life Treatment of Sold Products,Raw Materials - Spend-Based (EEIO),Raw Materials,Active Pharmaceutical Ingredients,Peptide API,2025
Category 5 - Waste Generated in Operations,Raw Materials - Spend-Based (EEIO),Raw Materials,Active Pharmaceutical Ingredients,Small Molecule API,2026
Category 2 - Capital Goods,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Bottles,2025
Category 4 - Upstream Transportation and Distribution,Raw Materials - Spend-Based (EEIO),Raw Materials,Excipients,Binders & Fillers,2024
Category 5 - Waste Generated in Operations,Logistics - Spend-Based (EEIO),Logistics,Inbound Freight,Ocean Freight,2025
Category 5 - Waste Generated in Operations,Logistics - Spend-Based (EEIO),Logistics,Inbound Freight,Road Freight,2026
Category 1 - Purchased Goods and Services,Raw Materials - Spend-Based (EEIO),Raw Materials,Active Pharmaceutical Ingredients,Peptide API,2026
Category 2 - Capital Goods,Raw Materials - Spend-Based (EEIO),Raw Materials,Solvents,Aqueous Solvents,2025
Category 4 - Upstream Transportation and Distribution,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Bottles,2025
Category 4 - Upstream Transportation and Distribution,Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing,Drug Substance CMO,Fermentation Services,2024
Category 5 - Waste Generated in Operations,Logistics - Spend-Based (EEIO),Logistics,Cold Chain,Cold Storage,2026
Category 2 - Capital Goods,Logistics - Spend-Based (EEIO),Logistics,Cold Chain,Cold Storage,2024
Category 12 - End of Life Treatment of Sold Products,Logistics - Spend-Based (EEIO),Logistics,Inbound Freight,Air Freight,2025
Category 2 - Capital Goods,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Bottles,2026
Category 12 - End of Life Treatment of Sold Products,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Glass Vials,2026
Category 5 - Waste Generated in Operations,Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing,Drug Substance CMO,Fermentation Services,2024
Category 12 - End of Life Treatment of Sold Products,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Secondary Packaging,Cartons,2026
Category 4 - Upstream Transportation and Distribution,Raw Materials - Spend-Based (EEIO),Raw Materials,Solvents,Organic Solvents,2025
Category 4 - Upstream Transportation and Distribution,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Prefilled Syringes,2024
Category 2 - Capital Goods,Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing,Drug Product CMO,Packaging Services,2026
Category 5 - Waste Generated in Operations,Logistics - Spend-Based (EEIO),Logistics,Inbound Freight,Road Freight,2024
Category 5 - Waste Generated in Operations,Logistics - Spend-Based (EEIO),Logistics,Inbound Freight,Road Freight,2024
Category 5 - Waste Generated in Operations,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Primary Packaging,Prefilled Syringes,2026
Category 2 - Capital Goods,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Secondary Packaging,Labels,2025
Category 1 - Purchased Goods and Services,Logistics - Spend-Based (EEIO),Logistics,Inbound Freight,Ocean Freight,2024
Category 1 - Purchased Goods and Services,Lab & Clinical Supplies - Spend-Based (EEIO),Lab & Clinical Supplies,Clinical Trial Materials,Trial Kits,2026
Category 4 - Upstream Transportation and Distribution,Logistics - Spend-Based (EEIO),Logistics,Cold Chain,Cold Storage,2025
Category 5 - Waste Generated in Operations,Raw Materials - Spend-Based (EEIO),Raw Materials,Active Pharmaceutical Ingredients,Biologic API,2026
Category 5 - Waste Generated in Operations,Packaging Materials - Spend-Based (EEIO),Packaging Materials,Tertiary Packaging,Pallet Wrap,2026
Category 1 - Purchased Goods and Services,Contract Manufacturing - Spend-Based (EEIO),Contract Manufacturing,Drug Product CMO,Packaging Services,2026
